msg_size,connection_type,messages_seg,bytes_seg
100,wifi_localhost,"1,203369434","120,3369434"
100,wifi_localhost,"0,1397038279","13,97038279"
100,wifi_localhost,"0,2767783006","27,67783006"
100,wifi_localhost,"0,04278074866","4,278074866"
100,wifi_localhost,"0,07380618496","7,380618496"
100,wifi_localhost,"0,05661231884","5,661231884"
100,wifi_localhost,"0,02909683426","2,909683426"
100,wifi_localhost,"0,3145643284","31,45643284"
100,wifi_localhost,"0,7763975155","77,63975155"
100,wifi_localhost,"0,04868549172","4,868549172"
100,wifi_localhost,"0,1312335958","13,12335958"
100,wifi_localhost,"0,1249219238","12,49219238"
100,wifi_localhost,"0,05689253001","5,689253001"
100,wifi_localhost,"0,2701242572","27,01242572"
100,wifi_localhost,"0,03308847859","3,308847859"
100,wifi_localhost,"0,3456619426","34,56619426"
100,wifi_localhost,"0,2297266253","22,97266253"
100,wifi_localhost,"0,4466279589","44,66279589"
100,wifi_localhost,"2,69541779","269,541779"
100,wifi_localhost,"0,1415227852","14,15227852"
100,wifi_localhost,"0,04934616334","4,934616334"
100,wifi_localhost,"0,3514938489","35,14938489"
100,wifi_localhost,"0,477326969","47,7326969"
100,wifi_localhost,"0,2494387628","24,94387628"
100,wifi_localhost,"2,538071066","253,8071066"
100,wifi_localhost,"0,3623188406","36,23188406"
100,wifi_localhost,"0,1085540599","10,85540599"
100,wifi_localhost,"1,081081081","108,1081081"
100,wifi_localhost,"0,162022035","16,2022035"
100,wifi_localhost,"0,2104377104","21,04377104"
100,wifi_localhost,"0,6915629322","69,15629322"
100,wifi_localhost,"0,328731098","32,8731098"
100,wifi_localhost,"0,1769285209","17,69285209"
100,wifi_localhost,"2,747252747","274,7252747"
100,wifi_localhost,"0,1988466892","19,88466892"
100,wifi_localhost,"0,120816721","12,0816721"
100,wifi_localhost,"0,1804402743","18,04402743"
100,wifi_localhost,"0,058356676","5,8356676"
100,wifi_localhost,"0,0467923822","4,67923822"
100,wifi_localhost,"0,05281504172","5,281504172"
100,wifi_localhost,"0,1848428835","18,48428835"
100,wifi_localhost,"0,5277044855","52,77044855"
100,wifi_localhost,"4,329004329","432,9004329"
100,wifi_localhost,"0,1615769914","16,15769914"
100,wifi_localhost,"0,07414547342","7,414547342"
100,wifi_localhost,"0,9496676163","94,96676163"
100,wifi_localhost,"0,05878894768","5,878894768"
100,wifi_localhost,"0,05658669081","5,658669081"
100,wifi_localhost,"0,2696144513","26,96144513"
100,wifi_localhost,"0,05600985773","5,600985773"
100,wifi_localhost,"0,03880029488","3,880029488"
100,wifi_localhost,"0,0832362244","8,32362244"
100,wifi_localhost,"0,09987016878","9,987016878"
100,wifi_localhost,"0,6086427267","60,86427267"
100,wifi_localhost,"0,1256439251","12,56439251"
100,wifi_localhost,"0,2035002035","20,35002035"
100,wifi_localhost,"0,2005213555","20,05213555"
100,wifi_localhost,"0,4325259516","43,25259516"
100,wifi_localhost,"0,02140685876","2,140685876"
100,wifi_localhost,"0,03690445437","3,690445437"
100,wifi_localhost,"0,2378121284","23,78121284"
100,wifi_localhost,"0,07987220447","7,987220447"
100,wifi_localhost,"0,1118193","11,18193"
100,wifi_localhost,"0,5042864347","50,42864347"
100,wifi_localhost,"0,3040437823","30,40437823"
100,wifi_localhost,"0,1276487107","12,76487107"
100,wifi_localhost,"0,05986590038","5,986590038"
100,wifi_localhost,"0,06821747732","6,821747732"
100,wifi_localhost,"0,4210526316","42,10526316"
100,wifi_localhost,"0,1020304051","10,20304051"
100,wifi_localhost,"0,08472422266","8,472422266"
100,wifi_localhost,"0,4014452027","40,14452027"
100,wifi_localhost,"0,1963864886","19,63864886"
100,wifi_localhost,"2,544529262","254,4529262"
100,wifi_localhost,"0,2135383301","21,35383301"
100,wifi_localhost,"0,193986421","19,3986421"
100,wifi_localhost,"0,05857544517","5,857544517"
100,wifi_localhost,"0,4672897196","46,72897196"
